"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT08"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-01","7.83",,"0.00","0.0","0.0","74","81","61","  240","  190","14.1","19.9",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-02","6.93",,"0.00","0.0","0.0","66","77","58","  230","  260","13.0","19.9",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-03","9.40",,"0.00","0.0","0.0","64","74","53","  230","  240","18.1","25.9",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-04","12.30",,"0.00","0.0","0.0","63","70","58","   20","   20","18.1","25.1",,,"    1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-05","10.74",,"0.00","0.0","0.0","64","76","55","  350","  350","16.1","23.0",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-06","7.38",,"0.00","0.0","0.0","69","84","56","  360","   10","17.0","23.0",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-07","7.61",,"0.00","0.0","0.0","74","90","61","  340","   20","13.0","18.1",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-08","6.26",,"0.00","0.0","0.0","76","91","61","  330","  340","14.1","17.0",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-09","4.70",,"0.00","0.0","0.0","67","79","59","  260","  250","10.1","15.0",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-10","6.49",,"0.03","0.0","0.0","66","70","59","  250","  240","14.1","21.0","    1","    1","    1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-11","4.92",,"0.00","0.0","0.0","66","81","58","  300","  290","12.1","16.1",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-12","8.72",,"0.00","0.0","0.0","67","78","56","  220","  230","17.0","25.1",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-13","8.05",,"0.00","0.0","0.0","67","75","60","  210","  200","15.0","21.0",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-14","6.71",,"0.00","0.0","0.0","67","82","59","  360","   50","12.1","18.1",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-15","4.47",,"0.00","0.0","0.0","70","84","58","   30","  270","10.1","14.1",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-16","6.93",,"0.00","0.0","0.0","68","83","58","   30","   30","14.1","19.0","    1",,"    1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-17","8.05",,"0.00","0.0","0.0","74","90","63","   20","  340","14.1","19.0",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-18","5.37",,"0.00","0.0","0.0","78","87","68","  300","   50","12.1","14.1",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-19","7.38",,"0.02","0.0","0.0","74","79","63","  230","  200","14.1","19.0",,"    1",
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-20","6.71",,"0.00","0.0","0.0","68","77","62","  200","  210","10.1","16.1",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-21","4.70",,"0.00","0.0","0.0","68","81","62","  270","  240","12.1","15.0",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-22","4.47",,"0.00","0.0","0.0","70","84","59","  360","   10","10.1","14.1",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-23","6.71",,"0.00","0.0","0.0","67","81","57","  350","  350","18.1","27.1","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-24","6.26",,"0.00","0.0","0.0","72","87","59","  360","  330","14.1","23.0",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-25",,,"0.00","0.0","0.0","75","89","60",,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-26","9.62",,"0.00","0.0","0.0","67","72","60","  220","  230","14.1","21.0","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-27","8.50",,"0.00","0.0","0.0","63","70","57","  240","  210","16.1","21.0","    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-28","6.71",,"0.00","0.0","0.0","62","77","53","  340","   10","14.1","18.1",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-29","9.17",,"0.00","0.0","0.0","68","85","56","  350","  350","17.0","21.0",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-30","8.05",,"0.00","0.0","0.0","75","90","62","  350","  350","14.1","19.9",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2022-08-31","6.71",,"0.00","0.0","0.0","75","85","60","  240","  240","16.1","21.0",,,
